"","1%","5%"
"vfinx",-0.0669652459448102,-0.050697766474667
"presx",-0.120535919653364,-0.0694786883447241
"hlemx",-0.126122087462034,-0.0823190043103347
"vbllx",-0.0491764548858865,-0.0334545320073557
"fshbx",-0.00317505670034885,-0.00246976585604004
"vpacx",-0.0934970008948276,-0.0728387795806305
