"","vfinx","presx","hlemx","vbllx","fshbx","vpacx"
"vfinx",0.00130062310247932,0.00162639242138114,0.00147310199302109,-0.000254067646421425,2.12681422202163e-05,0.00117407777444258
"presx",0.00162639242138114,0.00268685467109088,0.00217555447063944,-0.00034418218918456,4.67169642379277e-05,0.00174496345533351
"hlemx",0.00147310199302109,0.00217555447063944,0.00275904327043408,-7.35901301389627e-05,6.37479267511156e-05,0.00176689408168085
"vbllx",-0.000254067646421425,-0.00034418218918456,-7.35901301389627e-05,0.000672820165882223,3.15564333627593e-05,-0.000148562339208142
"fshbx",2.12681422202163e-05,4.67169642379277e-05,6.37479267511156e-05,3.15564333627593e-05,6.04986404226633e-06,3.60881847097037e-05
"vpacx",0.00117407777444258,0.00174496345533351,0.00176689408168085,-0.000148562339208142,3.60881847097037e-05,0.00180415531519762
