"","vfinx","presx","hlemx","vbllx","fshbx","vpacx"
"Jul 2010",0.0754237762567433,0.135695960398855,0.102557694054456,0.00977123968429061,0.0053453939464998,0.0721418497007889
"Aug 2010",-0.0452981689713706,-0.0433790884028199,-0.0192222019909336,0.05791171328867,0.00414434532344754,-0.0238093974755953
"Sep 2010",0.0836514160152768,0.123309485617436,0.109033594393899,-0.0113048298742543,0.00389761803064048,0.0774124357162211
"Oct 2010",0.0431428925312112,0.0566572554382361,0.0176721098089592,-0.0223971549276543,0.00388804897196837,0.022638034208516
"Nov 2010",0,-0.0703753576351257,-0.0199601385983526,-0.013377701656085,-0.00223185018995287,0.00384979322748347
"Dec 2010",0.0621789358158322,0.0814707874140437,0.0549899238321663,-0.0282389911012015,-0.00235827829274382,0.0421860227836488
"Jan 2011",0.0279336127058858,0.0440920551260309,-0.0201880638556725,-0.00794807545060627,0.00426612059243348,0.0293227074099516
"Feb 2011",0.034162849318131,0.0351562345564127,-0.0354104160809283,0.0153966842726319,1.25993537825053e-07,0.0405532165528675
"Mar 2011",-0.00391537374394302,0.0106918407138408,0.0442986287940417,-0.00193049296022874,1.38592874132648e-06,-0.0584588050314466
"Apr 2011",0.0338305994056549,0.0827628942453809,0.0380990266478924,0.0247421853948715,0.00591702556921581,0.0310442655964733
"May 2011",-0.0114539644634981,-0.02701150961782,-0.0295120822317617,0.0290837822402406,0.00482935010377128,-0.0264597751985926
"Jun 2011",-0.0211620193013805,-0.0236265406270473,-0.0169589228871787,-0.0192760166086268,-0.00105616154273114,0.00562293868837327
"Jul 2011",-0.0160385500388383,-0.0399275514009362,0.00178458347828636,0.043148936123492,0.00458698767927102,0.0130474905096076
"Aug 2011",-0.0544647579076972,-0.0976684734997098,-0.0674980324254232,0.0441664656344343,-0.000115144780587717,-0.0662372755876366
"Sep 2011",-0.0753530109534112,-0.116620280474304,-0.148163919537029,0.066103138241403,-0.00246465536378682,-0.0857140458619066
"Oct 2011",0.11485919573356,0.124110826954143,0.125591826027557,-0.00210809568878556,0.00247547717194863,0.0495687082672325
"Nov 2011",-0.00233677269128729,-0.0232066777887945,-0.0312154973296465,-0.00854864197465377,-0.00246924009095839,-0.0123202729052414
"Dec 2011",0.0045109459066226,-0.046076347449129,-0.0317640370836152,0.0241847862703701,0.00212416786716951,-0.0582118740679038
"Jan 2012",0.0505880358012309,0.0839388919947615,0.0996652999102001,0.0212921309365373,0.00731338600290199,0.102159695942649
"Feb 2012",0.0430685373144839,0.0714795153394621,0.0538845611645751,-0.00497610666615034,-0.000233410923138111,0.0434330860994998
"Mar 2012",0.0285304472521946,0.00933959507176607,0.00821345943147977,-0.0312460086134524,0.0011727565108719,0.00297311329235805
"Apr 2012",-0.00224397817854982,-0.0112358812892654,-0.0140529393875763,0.0345084286303299,0.00211043634994001,-0.020750893361184
"May 2012",-0.0601785021101293,-0.112299579741623,-0.100185867570991,0.0478539137101666,-0.000234299734669818,-0.0978809729326664
"Jun 2012",0.0359766283667555,0.0617470308593961,0.0505049786979217,-0.00553934850574334,0.00211251335698481,0.0659956912012156
"Jul 2012",0.0187387569611148,0.00992911540255625,0.010052523196908,0.0454356016843553,0.00445354079695282,-0.00524664486026249
"Aug 2012",0.0223930503891525,0.0421348765936953,0.00497618709608783,-0.00537799088453883,0.00327028719569733,0.00949362612610716
"Sep 2012",0.0208269838179118,0.0343665745388277,0.0527449644446316,-0.00811732745891069,0.00198186995259064,0.00522471583145556
"Oct 2012",-0.0138481942926877,0.00781759762908329,0.013087747608078,0.0101700859645364,0.00081590889831884,0.0153238018324942
"Nov 2012",0.0056000518776087,0.023270870584541,0.00100943101646034,0.00199299834431588,0.000815122254975709,0.0228455309259525
"Dec 2012",0.00213586695977486,0.0132659287242936,-0.022585279004342,-0.0247467826217906,0.000697933776158788,0.02944134695992
"Jan 2013",0.0589220591336013,0.0652632790404493,0.081229433708613,-0.00949834696083807,0.000814739396197695,0.0505539149122332
"Feb 2013",0.0133897517267838,-0.00417179066609186,-0.0172765446588388,0.0100575501857396,0.00069845478241537,0.0210123274796166
"Mar 2013",0.0327807501607469,0.00239386709301814,-0.00392963127004287,-0.00330083428523997,0.000698088395625129,0.0336764389487154
"Apr 2013",0.0235924271142722,0.0531344438379988,0.0236712167295143,0.0392332403289408,0.00186140001002055,0.0563207376032218
"May 2013",0.0232748698902079,0.00510192288765166,-0.0231238471324225,-0.0526465840698348,-0.00162636334621769,-0.075536370434786
"Jun 2013",-0.0181698364044004,-0.0253806215400253,-0.0546095344024145,-0.0460770237875214,-0.00407755325025128,-0.0139278002103218
"Jul 2013",0.0557276550058887,0.0810185367249716,0.0224027026743332,-0.00254880765156873,0.0017554760062668,0.0289718164974602
"Aug 2013",-0.0291190491968817,-0.0165953880857043,-0.0317936865686562,-0.0149728348675208,-0.00046741978577991,-0.0156683480421992
"Sep 2013",0.0263508603777893,0.070767552062323,0.0710006656962934,0.0079125761839931,0.00409614324537388,0.0823974101436451
"Oct 2013",0.0507872232968973,0.0584645976859315,0.0515847209950693,0.0204478085055344,0.00186570207810854,0.020268312831013
"Nov 2013",0.0302842030404125,0.0100866802450086,-0.013790281883425,-0.0157357205647759,0.00198079561836706,-0.000850344738136277
"Dec 2013",0.0198754526895921,0.0199713890328514,-0.0257690659330349,-0.00894420547696517,-0.00162886133792672,-0.0119149581558793
"Jan 2014",-0.0296834837701035,-0.0132591628922283,-0.0389671505881899,0.0476162856183822,0.0030322545405741,-0.0438471720823982
