Date,Open,High,Low,Close,Adj Close,Volume
2001-12-01,4.407500,4.992500,4.400000,19.049999,4.276591,283647200
2002-01-01,4.777500,5.970000,4.750000,23.770000,5.336197,421235200
2002-02-01,5.962500,5.962500,5.205000,23.010000,5.165583,223217600
2002-03-01,5.890000,6.132500,5.587500,23.129999,5.192522,259958400
2002-04-01,5.767500,6.425000,5.660000,22.820000,5.122931,315412800
2002-05-01,5.712500,6.125000,5.482500,24.280001,5.450691,348659600
2002-06-01,6.075000,6.325000,5.610000,24.850000,5.578650,354891600
2002-07-01,6.105000,6.240000,4.610000,19.629999,4.406796,478584000
2002-08-01,4.880000,5.455000,4.617500,20.100000,4.512308,324012000
2002-09-01,4.997500,5.392500,4.900000,20.660000,4.638025,283456400
2002-10-01,5.165000,6.025000,5.165000,23.840000,5.351913,430960400
2002-11-01,6.012500,6.040000,5.212500,21.740000,4.880476,301813600
2002-12-01,5.500000,5.522500,5.045000,20.379999,4.575166,283226400
2003-01-01,5.117500,5.825000,4.905000,22.719999,5.100481,360126400
2003-02-01,5.667500,5.880000,5.400000,23.450001,5.264361,293963200
2003-03-01,5.905000,6.630000,5.550000,25.760000,5.782939,375890800
2003-04-01,6.452500,6.717500,5.837500,23.510000,5.277830,426204800
2003-05-01,5.855000,6.207500,5.700000,24.670000,5.538242,381653200
2003-06-01,6.140000,6.365000,5.937500,24.549999,5.511303,279097200
2003-07-01,6.237500,6.942500,6.195000,27.330000,6.135393,336760800
2003-08-01,6.850000,7.132500,6.500000,28.389999,6.373357,196262000
2003-09-01,7.022500,7.737500,7.015000,28.799999,6.465398,314559200
2003-10-01,7.260000,8.000000,7.200000,31.600000,7.093976,224384800
2003-11-01,7.840000,8.262500,7.500000,32.169998,7.221938,217008800
2003-12-01,8.020000,8.357500,7.855000,33.160000,7.444188,201372000
2004-01-01,8.362500,9.202500,8.225000,36.610001,8.218687,269614800
2004-02-01,9.205000,9.920000,9.000000,37.400002,8.396038,271877600
2004-03-01,9.472500,9.685000,9.127500,37.869999,8.501548,288346400
2004-04-01,9.535000,9.977500,9.185000,38.919998,8.737266,240294000
2004-05-01,9.705000,10.300000,9.257500,40.599998,9.114412,230995600
2004-06-01,10.175000,11.100000,10.155000,43.490002,9.763201,243623600
2004-07-01,11.162500,12.100000,11.005000,46.990002,10.548928,308100400
2004-08-01,11.717500,11.782500,10.512500,43.240002,9.707075,326506000
2004-09-01,10.747500,11.572500,10.697500,45.459999,10.205448,207210400
2004-10-01,11.492500,13.312500,11.322500,52.880001,11.871188,292142000
2004-11-01,13.230000,14.250000,13.150000,56.259998,12.629973,245271600
2004-12-01,14.082500,16.065001,14.072500,62.360001,13.999380,253791600
2005-01-01,15.822500,15.835000,13.025000,54.000000,12.122622,466645200
2005-02-01,13.540000,13.745000,12.285000,51.810001,11.630982,316263600
2005-03-01,12.972500,13.897500,12.680000,51.660000,11.597307,269286000
2005-04-01,13.057500,13.095000,11.145000,49.520000,11.116892,425663200
2005-05-01,12.475000,13.930000,12.300000,54.790001,12.299968,263134400
2005-06-01,13.730000,14.225000,12.880000,51.660000,11.597307,228436400
2005-07-01,12.932500,13.597500,12.320000,52.549999,11.797106,272621600
2005-08-01,13.137500,13.192500,12.000000,49.029999,11.006892,216531200
2005-09-01,12.450000,12.540000,11.502500,50.099998,11.247094,266210400
2005-10-01,12.577500,14.245000,12.430000,56.560001,12.697323,280288200
2005-11-01,14.150000,16.000000,14.035000,30.450001,13.671622,232694200
2005-12-01,15.170000,16.230000,14.970000,30.010000,13.474069,181387400
2006-01-01,15.285000,16.160000,14.950000,31.700001,14.232854,167365600
2006-02-01,15.640000,18.434999,15.570000,36.320000,16.307169,248202600
2006-03-01,18.165001,19.055000,17.365000,37.630001,16.895340,225956600
2006-04-01,18.990000,19.750000,18.385000,37.270000,16.733709,196322200
2006-05-01,18.815001,19.940001,17.299999,35.650002,16.006348,335908200
2006-06-01,17.745001,19.010000,17.455000,37.759998,16.953705,254581400
2006-07-01,18.980000,19.165001,16.465000,34.230000,15.368786,310443000
2006-08-01,16.995001,16.995001,14.360000,31.010000,13.923052,529827200
2006-09-01,15.805000,17.520000,15.265000,34.049999,15.287973,318108400
2006-10-01,17.075001,19.750000,16.805000,37.750000,16.949219,369074600
2006-11-01,18.995001,20.004999,17.580000,35.290001,15.844716,329611600
2006-12-01,17.625000,18.570000,17.450001,35.419998,15.903084,209947800
2007-01-01,17.799999,18.305000,16.745001,34.939999,15.687572,323527400
