Date,Adj Close
3/1/93,0.533171
4/1/93,0.543695
5/1/93,0.673479
6/1/93,0.687505
7/1/93,0.666466
8/1/93,0.680492
9/1/93,0.768188
10/1/93,0.750651
11/1/93,0.624369
12/1/93,0.624369
1/1/94,0.673479
2/1/94,0.65243
3/1/94,0.684003
4/1/94,0.834835
5/1/94,0.799752
6/1/94,0.708554
7/1/94,0.813787
8/1/94,0.792739
9/1/94,0.647168
10/1/94,0.761175
11/1/94,0.752402
12/1/94,0.771699
1/1/95,0.673479
2/1/95,0.669968
3/1/95,0.673479
4/1/95,0.659452
5/1/95,0.815538
6/1/95,0.999694
7/1/95,1.048804
8/1/95,1.122465
9/1/95,1.062831
10/1/95,1.101416
11/1/95,1.185601
12/1/95,1.178588
1/1/96,0.940069
2/1/96,0.98917
3/1/96,1.308372
4/1/96,1.522341
5/1/96,1.522341
6/1/96,1.585477
7/1/96,1.459204
8/1/96,1.838041
9/1/96,1.852067
10/1/96,1.824005
11/1/96,1.943265
12/1/96,1.606526
1/1/97,1.922216
2/1/97,1.887142
3/1/97,1.662649
4/1/97,1.676684
5/1/97,1.767882
6/1/97,2.185295
7/1/97,2.297542
8/1/97,2.301053
9/1/97,2.346652
10/1/97,1.852067
11/1/97,1.9573
12/1/97,2.153731
1/1/98,2.052009
2/1/98,2.22038
3/1/98,2.543083
4/1/98,2.700929
5/1/98,2.693916
6/1/98,2.999082
7/1/98,2.350163
8/1/98,1.771393
9/1/98,2.030961
10/1/98,2.434348
11/1/98,2.588682
12/1/98,3.149914
1/1/99,2.92192
2/1/99,2.967518
3/1/99,3.149914
4/1/99,4.146107
5/1/99,4.139093
6/1/99,4.216257
7/1/99,2.609731
8/1/99,2.567642
9/1/99,2.781603
10/1/99,3.051704
11/1/99,2.981545
12/1/99,2.721977
1/1/00,3.591888
2/1/00,3.942653
3/1/00,5.030043
4/1/00,3.393696
5/1/00,3.816381
6/1/00,4.286415
7/1/00,4.209243
8/1/00,4.111024
9/1/00,4.496871
10/1/00,5.016016
11/1/00,5.114228
12/1/00,4.966907
1/1/01,5.605312
2/1/01,5.345734
3/1/01,4.763462
4/1/01,4.343939
5/1/01,4.382102
6/1/01,5.163338
7/1/01,4.049852
8/1/01,3.787197
9/1/01,3.353925
10/1/01,3.84332
11/1/01,3.978016
12/1/01,4.276591
1/1/02,5.336197
2/1/02,5.165583
3/1/02,5.192522
4/1/02,5.122931
5/1/02,5.450691
6/1/02,5.57865
7/1/02,4.406796
8/1/02,4.512308
9/1/02,4.638025
10/1/02,5.351913
11/1/02,4.880476
12/1/02,4.575166
1/1/03,5.100481
2/1/03,5.264361
3/1/03,5.782939
4/1/03,5.27783
5/1/03,5.538242
6/1/03,5.511303
7/1/03,6.135393
8/1/03,6.373357
9/1/03,6.465398
10/1/03,7.093976
11/1/03,7.221938
12/1/03,7.444188
1/1/04,8.218687
2/1/04,8.396038
3/1/04,8.501548
4/1/04,8.737266
5/1/04,9.114412
6/1/04,9.763201
7/1/04,10.548928
8/1/04,9.707075
9/1/04,10.205448
10/1/04,11.871188
11/1/04,12.629973
12/1/04,13.99938
1/1/05,12.122622
2/1/05,11.630982
3/1/05,11.597307
4/1/05,11.116892
5/1/05,12.299968
6/1/05,11.597307
7/1/05,11.797106
8/1/05,11.006892
9/1/05,11.247094
10/1/05,12.697323
11/1/05,13.671622
12/1/05,13.474069
1/1/06,14.232854
2/1/06,16.307169
3/1/06,16.89534
4/1/06,16.733709
5/1/06,16.006348
6/1/06,16.953705
7/1/06,15.368786
8/1/06,13.923052
9/1/06,15.287973
10/1/06,16.949219
11/1/06,15.844716
12/1/06,15.903084
1/1/07,15.687572
2/1/07,13.873664
3/1/07,14.0802
4/1/07,13.927542
5/1/07,12.935285
6/1/07,11.781392
7/1/07,11.978944
8/1/07,12.369561
9/1/07,11.763432
10/1/07,11.978944
11/1/07,10.501781
12/1/07,9.19074
1/1/08,8.490324
2/1/08,8.072766
3/1/08,7.857253
